country_name,iso3,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,fsi_2011_gsw,fsi_2013_gsw,fsi_2015_gsw,fsi_2018_gsw,fsi_2020_gsw,fsi_2022_gsw,fsi_2011_rank,fsi_2013_rank,fsi_2015_rank,fsi_2018_rank,fsi_2020_rank,fsi_2022_rank,fsi_2011_score,fsi_2013_score,fsi_2015_score,fsi_2018_score,fsi_2020_score,fsi_2022_score
Palau,PLW,,,,,,,,,,0.00000228,0.00000892,,,,,,,,,,,,,
Papua New Guinea,PNG,,,,,,,,,,0.0000133,0.0000194,,,,,,,,,,,,,
Poland,POL,,,57.22033,215.3974,212.0988403,122.228088730408,,,0.1716201,0.0014891,0.001894342,0.0019608589354902,,,75,51,59,86,,,36.29,57.35,55.55,46.05
Puerto Rico,PRI,,,,151.0607,150.5337915,176.451086896862,,,,0.0000354,0.000057,0.0000496611937705893,,,,65,77,64,,,,77.2,73.138,78.3
North Korea,PRK,,,,,,,,,,,8.47e-8,,,,,,,,,,,,,
Portugal,PRT,119.3885608,57.91351,52.50964,151.6261,151.1777761,200.801723153243,0.0007924,0.09157,0.0632777,0.0007984,0.000881274,0.0013001983752474,51,69,78,64,76,57,50.53,39.07,39.4,54.675,54.025,56.875
Paraguay,PRY,,,,158.5205,117.590868,71.9151192061113,,,,0.0000185,0.0000162,0.0000151796903082868,,,,62,88,117,,,,84.325,77.45,66.225
Palestine,PSE,,,,,,,,,,0.0000497,0.0000456,,,,,,,,,,,,,
French Polynesia,PYF,,,,,,,,,,0.00000293,0.00000329,,,,,,,,,,,,,
Qatar,QAT,,,,,433.0474125,412.34492702195,,,,0.0005581,0.000853473,0.0011097100796178,,,,,20,20,,,,,77,73.575
Reunion,REU,,,,,,,,,,1.71e-7,0.00000165,,,,,,,,,,,,,
Romania,ROU,,,,232.3018,224.1335423,177.748534679776,,,,0.000563,0.00075996,0.0006123299244791,,,,47,56,62,,,,65.525,62.625,59.375
Russia,RUS,,325.2539,243.261,361.1588,256.3531286,270.375936198414,,0.31828,0.3968739,0.0026242,0.002631571,0.0020829928107559,,25,30,29,44,43,,60.47,53.56,63.975,57.05,59.6
Rwanda,RWA,,,,,100.4708934,106.120936749837,,,,0.0000715,0.0000649,0.000022627198632108,,,,,99,98,,,,,63,72.125
Saudi Arabia,SAU,,274.2,163.8641,278.5754,245.4746014,359.792528499902,,0.02779,0.0371844,0.0005444,0.000568005,0.0013223547721281,,31,43,37,45,25,,74.9,61.08,69.875,66.675,68.95
Sudan,SDN,,,,,,,,,,0.0000272,0.00000507,,,,,,,,,,,,,
Senegal,SEN,,,,,,,,,,0.0000275,0.0000263,,,,,,,,,,,,,
Singapore,SGP,1117.958613,1216.86,1147.122,1081.982,1022.119345,1166.69663609186,0.0312592,4.28012,4.280101,0.0457827,0.05173545,0.0564473085105419,6,5,4,5,5,3,70.8,70.33,68.96,67.125,64.975,67.25
Saint Helena,SHN,,,,,,,,,,1.08e-8,6.55e-9,,,,,,,,,,,,,
Solomon Islands,SLB,,,,,,,,,,0.00000238,3.6e-9,,,,,,,,,,,,,
Sierra Leone,SLE,,,,,,,,,,0.00000736,0.0000111,,,,,,,,,,,,,
El Salvador,SLV,,,,,123.1214685,107.257203854057,,,,0.0000958,0.00010216,0.0001136268692789,,,,,85,97,,,,,64.1,60.5
San Marino,SMR,30.86461955,59.53545,33.271,24.31495,20.81989966,11.8536802936954,2.53e-7,0.000155,0.0000966,7.98e-7,8.37e-7,1.56842645537836e-7,68,68,86,109,129,140,78.73,80.13,69.56,64,60.45,60.35
Somalia,SOM,,,,,,,,,,,2.75e-7,,,,,,,,,,,,,
St. Pierre and Miquelon,SPM,,,,,,,,,,2.81e-8,2.14e-7,,,,,,,,,,,,,
Serbia,SRB,,,,,,84.2038470127201,,,,0.0000551,0.0000682,0.0001436820020899,,,,,,110,,,,,,54.375
South Sudan,SSD,,,,,,,,,,0.0000818,0.00000406,,,,,,,,,,,,,
Sao Tome and Principe,STP,,,,,,,,,,1.44e-8,1.52e-8,,,,,,,,,,,,,
Suriname,SUR,,,,,,,,,,0.00000666,0.00000259,,,,,,,,,,,,,
Slovakia,SVK,,,60.13406,127.8874,91.29390449,101.824742051979,,,0.0109155,0.0004617,0.000330328,0.0003105935757048,,,73,76,104,101,,,50.11,54.9,50.925,53.175
Slovenia,SVN,,,22.46907,35.32386,27.48119603,24.6160338441203,,,0.0188818,0.0001125,0.000139835,0.0001515399198979,,,88,104,128,137,,,33.96,41.825,37.55,35.875
Sweden,SWE,,55.71366,100.8714,203.5453,182.8646578,168.468151384464,,0.43952,1.005567,0.0101398,0.007102681,0.0068131722509861,,71,56,54,64,67,,32.4,36.02,45.475,45.65,44.625
Eswatini,SWZ,,,,,,,,,,0.00000325,0.00000331,,,,,,,,,,,,,
Sint Maarten,SXM,,,,,,,,,,5.1e-7,2.45e-7,,,,,,,,,,,,,
Seychelles,SYC,95.01644304,293.483,60.84057,125.2617,108.5323325,117.530984659967,0.00000273,0.01065,0.0004807,0.0000256,0.00003,0.0000305475223285612,56,28,72,77,95,89,87.93,85.23,71.17,75.2,70.4375,72.175
Syria,SYR,,,,,,,,,,0.00000217,0.00000306,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,218.8583265,81.81755,72.46152,98.07825,114.3223679,59.3287955131851,0.000026,0.000497,0.000802,0.0000102,0.0000143,0.00000257345277532295,39,63,68,87,92,120,90.4,78.27,71.27,76.775,77.825,75.65
Chad,TCD,,,,,,,,,,8.71e-10,2.81e-9,,,,,,,,,,,,,
Togo,TGO,,,,,,,,,,0.00000417,0.0000224,,,,,,,,,,,,,
Thailand,THA,,,,550.5987,448.8582185,379.867003359114,,,,0.0012613,0.001489563,0.0013893005670979,,,,15,17,23,,,,79.875,73.25,69.825
Tajikistan,TJK,,,,,,,,,,0.00000664,7.21e-7,,,,,,,,,,,,,
Tokelau,TKL,,,,,,,,,,8.28e-7,0.00000141,,,,,,,,,,,,,
Turkmenistan,TKM,,,,,,,,,,2.33e-7,3.28e-7,,,,,,,,,,,,,
Timor-Leste,TLS,,,,,,,,,,7.43e-8,0.00000129,,,,,,,,,,,,,
Tonga,TON,,,,,,,,,,3.27e-8,1.38e-7,,,,,,,,,,,,,
Trinidad and Tobago,TTO,,,,27.86072,29.63358834,39.1345848269848,,,,0.00000101,0.00000132,0.00000170166379120928,,,,107,127,130,,,,65.25,64.6535,68.95
Tunisia,TUN,,,,,147.4830832,100.933588655745,,,,0.0001402,0.000126561,0.000108775398985,,,,,78,102,,,,,66.475,59.575
Turkey,TUR,,,320.9027,353.8883,225.7219655,199.631227605723,,,0.1816469,0.0014304,0.001230464,0.0006679063662886,,,19,30,55,59,,,64.07,67.975,59.5,61.125
Taiwan,TWN,,,,743.3792,507.5742216,481.920335551224,,,,0.0050025,0.005892872,0.010900086723268,,,,8,13,17,,,,75.75,65.5,60.125
Tanzania,TZA,,,,128.9168,100.6186769,113.187010051459,,,,0.0000346,0.0000229,0.0000417113515140954,,,,75,98,93,,,,73.4,70.775,68.85
Uganda,UGA,,,,,,,,,,0.000063,0.0000403,,,,,,,,,,,,,
Ukraine,UKR,,,,246.2471,160.4497581,125.426280402455,,,,0.000413,0.000202216,0.0002321599749848,,,,43,70,85,,,,69.15,64.9,58.875
United States Minor Outlying Islands,UMI,,,,,,,,,,0.00000174,1.02e-8,,,,,,,,,,,,,
Uruguay,URY,331.0032555,277.4804,255.5827,148.2012,115.470052,162.736378887982,0.0003343,0.03992,0.0370665,0.0002856,0.000242401,0.0005824881955049,26,30,28,67,90,71,78.13,72.23,70.86,60.825,57,57.975
United States,USA,1160.059104,1212.971,1254.755,1298.47,1486.957077,1950.78060750601,0.2079093,22.5858,19.6027,0.2230242,0.213690516,0.257772564888,5,6,3,2,2,1,58.07,58.4,60,59.825,62.888,67.425
Uzbekistan,UZB,,,,,,,,,,6.29e-7,0.0000553,,,,,,,,,,,,,
Vatican,VAT,,,,,,,,,,,1.22e-7,,,,,,,,,,,,,
St. Vincent & Grenadines,VCT,100.9028576,85.14934,79.65414,21.37537,57.72270926,52.6631585467788,0.00000947,0.000573,0.000474,2.44e-7,0.00000849,0.00000574282921661506,53,62,64,111,114,122,78.13,78.07,77.98,69.95,65.65,66.5
Venezuela,VEN,,,,105.0341,196.9988394,168.099676122028,,,,0.0000348,0.000214948,0.0000922108010854572,,,,85,61,69,,,,68.525,69.025,71.925
British Virgin Islands,VGB,617.8850568,385.4457,307.6909,502.7578,619.1401487,620.8089964276,0.0015035,0.24099,0.2805277,0.0037524,0.004983806,0.0054558762349188,11,20,21,16,9,9,81.4,66,60.2,68.65,71.3,70.65
US Virgin Islands,VIR,104.24046,102.8635,118.2316,101.8939,117.0346512,119.568374548601,0.0000361,0.00291,0.0044659,0.0000178,0.0000244,0.000033184107451234,52,59,50,86,89,87,68.07,69.4,69.33,73.075,73.888,71.925
Vietnam,VNM,,,,,299.2994469,375.209214085042,,,,0.0002027,0.00038735,0.0003568550455383,,,,,37,24,,,,,74.325,80.875
Vanuatu,VUT,14.32583422,164.9674,142.8499,149.2654,88.59109729,80.6022425894997,9.29e-9,0.00163,0.0010597,0.00000991,0.00000793,0.0000061904047470307,70,45,47,66,106,112,88,86.67,86.64,88.575,76.3,76
Samoa,WSM,27.50107447,31.03195,117.5075,115.901,120.859974,93.3386454306419,9.3e-8,0.00000984,0.0006378,0.0000153,0.0000246,0.000013770204532193,69,76,51,81,86,104,84.67,87.6,85.89,77.6,74.625,73.025
,XKX,,,,,,40.8634452712237,,,,0.00000111,0.00000238,0.00000194998801816837,,,,,,129,,,,,,68.9
Yemen,YEM,,,,,,,,,,2.05e-7,1.66e-7,,,,,,,,,,,,,
South Africa,ZAF,,209.7911,90.88525,216.4384,218.5853163,261.086804265287,,0.26019,0.2025164,0.0018422,0.001856218,0.0017528213793411,,36,61,50,58,46,,53.43,41.57,56.1,56.2375,60.05
Zambia,ZMB,,,,,,,,,,0.0000499,0.00000695,,,,,,,,,,,,,
Zimbabwe,ZWE,,,,,,,,,,0.00000627,0.00000595,,,,,,,,,,,,,
